feature,importance
type_scatter_plot,0.715921
type_network_diagram,0.088176526
type_line_chart,0.070177354
type_flowchart,0.036588773
type_bar_chart,0.030845573
seed_bit_03,0.005985006
seed_bit_02,0.00592684
seed_bit_06,0.005917817
seed_bit_07,0.0059098415
seed_bit_01,0.0058606546
seed_bit_09,0.005849947
seed_bit_05,0.0058289007
seed_bit_08,0.0057146307
seed_bit_00,0.0057097306
seed_bit_04,0.005587408
seed_bit_15,0.0
seed_bit_14,0.0
seed_bit_13,0.0
seed_bit_10,0.0
seed_bit_11,0.0
seed_bit_12,0.0
seed_bit_20,0.0
seed_bit_19,0.0
seed_bit_18,0.0
seed_bit_17,0.0
seed_bit_16,0.0
seed_bit_21,0.0
seed_bit_23,0.0
seed_bit_22,0.0
seed_bit_28,0.0
seed_bit_27,0.0
seed_bit_26,0.0
seed_bit_25,0.0
seed_bit_24,0.0
seed_bit_31,0.0
seed_bit_29,0.0
seed_bit_30,0.0
